filename,source,query,source_url,license,phash,width,height,filesize
0037_bing_3999c545f3.jpg,bing,concrete pump truck,bing:concrete pump truck,unknown,e777188534c06bb9,1600,1156,370408
0038_bing_3eee5c830c.jpg,bing,concrete pump truck,bing:concrete pump truck,unknown,d8a4a55b862dd6b2,750,750,58746
0039_bing_bed834ab86.jpg,bing,concrete pump truck,bing:concrete pump truck,unknown,e3882c590bb37a97,1300,956,171889
0040_bing_5e73639e1b.jpg,bing,concrete pump truck,bing:concrete pump truck,unknown,b8b1aece4545e03d,4032,3024,2362030
0041_bing_b4491a6dfe.jpg,bing,concrete pump truck,bing:concrete pump truck,unknown,94eb2ad43b08f51b,1600,1290,171108
0042_bing_6a73bf8810.jpg,bing,concrete pump truck,bing:concrete pump truck,unknown,e9d592164d29b1c7,1024,614,251967
0043_bing_b824f844eb.jpg,bing,concrete pump truck,bing:concrete pump truck,unknown,b7c8689f41b336c4,1500,1036,166638
0044_bing_3234ab7930.jpg,bing,concrete pump truck,bing:concrete pump truck,unknown,b3ee04a47c92fa13,1000,1000,1353724
0045_bing_df04657f03.jpg,bing,concrete pump truck,bing:concrete pump truck,unknown,bfc5f12a50b43b82,950,600,136589
0046_bing_feb7c76cdd.jpg,bing,concrete pump truck,bing:concrete pump truck,unknown,eaeac2d79da0341a,1440,1080,205078
0047_bing_1228a840fa.jpg,bing,concrete pump truck,bing:concrete pump truck,unknown,fbe092b899950cce,1388,560,351049
0048_bing_f3c326f973.jpg,bing,concrete pump truck,bing:concrete pump truck,unknown,ca879f40c33b909f,1920,1181,643352
0049_bing_4877fa1fa3.jpg,bing,concrete pump truck,bing:concrete pump truck,unknown,8ca4e3578cec5b91,2052,1680,602088
0050_bing_abc826bd54.jpg,bing,concrete pump truck,bing:concrete pump truck,unknown,aec4d13b6ec4b01b,1886,1880,467657
